incorrect_word,correct_word,error_type,frequency_category
abandonned,abandoned,double_consonant,common
aberation,aberration,missing_consonant,uncommon
abilty,ability,missing_vowel,common
ananimus,anonymous,letter_substitution,rare
abscence,absence,letter_substitution,common
absense,absence,letter_substitution,common
absolutly,absolutely,missing_vowel,very_common
accademic,academic,double_consonant,common
accellerate,accelerate,double_consonant,common
acceptible,acceptable,vowel_substitution,common
accesible,accessible,missing_consonant,common
accidently,accidentally,missing_vowel,very_common
accomodate,accommodate,missing_consonant,very_common
acommodate,accommodate,missing_consonant,common
accompany,accompany,correct_spelling,reference
accordian,accordion,vowel_substitution,uncommon
accross,across,double_consonant,common
acheive,achieve,vowel_order,very_common
achive,achieve,missing_vowel,common
acknowlege,acknowledge,missing_consonant,common
acknowlegement,acknowledgement,missing_consonant,common
acquaintence,acquaintance,vowel_substitution,common
acquaintance,acquaintance,correct_spelling,reference
acquited,acquitted,missing_consonant,uncommon
addictoin,addiction,letter_order,uncommon
addres,address,missing_consonant,common
adress,address,missing_consonant,very_common
advertisment,advertisement,missing_vowel,common
advise,advice,consonant_substitution,very_common
aeroplane,airplane,different_form,uncommon
afair,affair,missing_consonant,uncommon
afficionado,aficionado,double_consonant,uncommon
agressive,aggressive,missing_consonant,common
agression,aggression,missing_consonant,common
alchohol,alcohol,extra_vowel,common
alchol,alcohol,missing_vowel,common
allready,already,double_consonant,very_common
alot,a lot,word_separation,very_common
alright,all right,word_separation,common
altho,although,abbreviation,common
amature,amateur,vowel_substitution,common
amashing,amazing,consonant_substitution,uncommon
amzing,amazing,missing_vowel,common
amazng,amazing,missing_vowel,uncommon
aniversary,anniversary,missing_consonant,common
annonymous,anonymous,double_consonant,common
anual,annual,missing_consonant,common
aparent,apparent,missing_consonant,common
aparment,apartment,missing_consonant,common
apear,appear,missing_consonant,common
appearence,appearance,vowel_substitution,common
applause,applause,correct_spelling,reference
apreciate,appreciate,missing_consonant,very_common
apropriate,appropriate,missing_consonant,common
aquire,acquire,consonant_substitution,common
arguement,argument,extra_vowel,very_common
artic,arctic,missing_consonant,uncommon
artical,article,vowel_substitution,common
asthetic,aesthetic,missing_vowel,uncommon
athiest,atheist,vowel_order,common
atheletic,athletic,extra_vowel,uncommon
attatch,attach,double_consonant,common
attemp,attempt,missing_consonant,common
attendence,attendance,vowel_substitution,common
auther,author,consonant_substitution,common
availible,available,vowel_substitution,common
awsome,awesome,missing_vowel,very_common
basicaly,basically,missing_consonant,common
beacuse,because,vowel_order,very_common
becaus,because,missing_vowel,common
becuase,because,vowel_order,very_common
becouse,because,vowel_substitution,common
becasue,because,letter_order,common
becuze,because,letter_substitution,uncommon
befor,before,missing_vowel,common
begining,beginning,missing_consonant,very_common
beleive,believe,vowel_order,very_common
belive,believe,missing_vowel,common
beleve,believe,vowel_substitution,common
benfit,benefit,missing_vowel,common
beutiful,beautiful,vowel_order,common
bizzare,bizarre,double_consonant,uncommon
boundry,boundary,vowel_substitution,common
breif,brief,vowel_order,common
brillant,brilliant,missing_vowel,common
buisness,business,vowel_order,very_common
bussiness,business,double_consonant,common
busness,business,missing_vowel,common
calander,calendar,vowel_substitution,very_common
calender,calendar,vowel_substitution,common
camoflage,camouflage,missing_vowel,uncommon
campain,campaign,missing_consonant,common
carefull,careful,double_consonant,common
carrer,career,missing_vowel,common
catagory,category,vowel_substitution,common
cemetary,cemetery,vowel_substitution,common
cemetry,cemetery,missing_vowel,common
centuary,century,vowel_substitution,uncommon
ceratin,certain,letter_order,common
certian,certain,vowel_order,common
changable,changeable,missing_vowel,common
charachter,character,vowel_substitution,common
cheif,chief,vowel_order,common
choise,choice,vowel_substitution,common
cieling,ceiling,vowel_order,common
circut,circuit,missing_vowel,common
clarifiation,clarification,extra_vowel,uncommon
collegue,colleague,missing_vowel,common
colum,column,missing_consonant,common
comming,coming,double_consonant,very_common
commitee,committee,missing_consonant,common
committe,committee,missing_vowel,common
compair,compare,vowel_substitution,common
compatable,compatible,vowel_substitution,common
competant,competent,vowel_substitution,common
compleatly,completely,vowel_substitution,common
concious,conscious,missing_consonant,common
concensus,consensus,vowel_substitution,common
concieted,conceited,missing_vowel,uncommon
conection,connection,missing_consonant,common
confindence,confidence,vowel_substitution,common
congradulations,congratulations,vowel_substitution,common
conquer,conquer,correct_spelling,reference
consciense,conscience,vowel_substitution,uncommon
consious,conscious,missing_consonant,common
contraversy,controversy,vowel_substitution,uncommon
convience,convenience,vowel_order,common
coresponding,corresponding,missing_consonant,common
critisism,criticism,vowel_substitution,common
curiousity,curiosity,extra_vowel,common
decison,decision,missing_vowel,common
definate,definite,vowel_substitution,very_common
definately,definitely,vowel_substitution,very_common
definatly,definitely,vowel_substitution,very_common
defintely,definitely,vowel_order,very_common
defintly,definitely,vowel_order,common
defiantly,definitely,word_confusion,common
delicious,delicious,correct_spelling,reference
dependant,dependent,vowel_substitution,common
desicion,decision,vowel_substitution,common
desparate,desperate,vowel_substitution,common
deterant,deterrent,missing_consonant,uncommon
develope,develop,extra_vowel,common
developement,development,extra_vowel,common
diference,difference,missing_consonant,common
diffrent,different,missing_vowel,very_common
dilema,dilemma,missing_consonant,common
dinning,dining,double_consonant,common
disapear,disappear,missing_consonant,common
disapoint,disappoint,missing_consonant,common
disasterous,disastrous,extra_vowel,common
discription,description,consonant_substitution,common
disobediance,disobedience,vowel_substitution,uncommon
doesnt,doesn't,missing_apostrophe,very_common
